state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
TN,7000,64,448000,121000,1.32,591000,1998
TN,8000,51,408000,106000,1.3,530000,1999
TN,9000,61,549000,104000,1.43,785000,2000
TN,8000,59,472000,131000,1.39,656000,2001
TN,8000,61,488000,137000,1.4,683000,2002
TN,6000,40,240000,46000,1.52,365000,2003
TN,6000,54,324000,91000,1.73,561000,2004
TN,7000,55,385000,92000,1.67,643000,2005
TN,7000,55,385000,58000,1.84,708000,2006
TN,7000,65,455000,114000,1.99,905000,2007
TN,7000,61,427000,149000,2.09,892000,2008
TN,7000,51,357000,86000,2.37,846000,2009
TN,8000,63,504000,106000,2.5,1260000,2010
TN,7000,44,308000,68000,2.93,902000,2011
TN,6000,61,366000,59000,2.93,1072000,2012
