state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
VA,8000,37,296000,86000,1.33,394000,1998
VA,7000,35,245000,86000,1.17,287000,1999
VA,7000,42,294000,103000,1.5,441000,2000
VA,9000,52,468000,94000,1.26,590000,2001
VA,8000,38,304000,79000,1.9,578000,2002
VA,6000,37,222000,69000,1.68,373000,2003
VA,7000,38,266000,69000,2.1,559000,2004
VA,8000,37,296000,59000,2.2,651000,2005
VA,8000,42,336000,114000,2.2,739000,2006
VA,6000,46,276000,63000,2.43,671000,2007
VA,6000,42,252000,45000,2.42,610000,2008
VA,6000,39,234000,56000,3.45,807000,2009
VA,5000,37,185000,37000,3.32,614000,2010
VA,4000,40,160000,21000,4.07,651000,2011
VA,4000,41,164000,23000,3.77,618000,2012
