state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
AZ,55000,60,3300000,1485000,0.64,2112000,1998
AZ,52000,62,3224000,1548000,0.62,1999000,1999
AZ,40000,59,2360000,1322000,0.73,1723000,2000
AZ,43000,59,2537000,1142000,0.72,1827000,2001
AZ,38000,63,2394000,1197000,1.08,2586000,2002
AZ,35000,72,2520000,983000,1.34,3377000,2003
AZ,32000,55,1760000,774000,1.11,1954000,2004
AZ,36000,50,1800000,720000,1.04,1872000,2005
AZ,30000,65,1950000,839000,0.91,1775000,2006
AZ,30000,64,1920000,902000,1.26,2419000,2007
AZ,25000,64,1600000,336000,1.26,2016000,2008
AZ,20000,52,1040000,562000,1.45,1508000,2009
AZ,24000,77,1848000,665000,1.52,2809000,2010
AZ,23000,53,1219000,427000,1.55,1889000,2011
AZ,22000,46,1012000,253000,1.79,1811000,2012
