state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
GA,75000,56,4200000,307000,0.69,2898000,1998
GA,65000,51,3315000,497000,0.64,2122000,1999
GA,55000,57,3135000,376000,0.63,1975000,2000
GA,55000,57,3135000,188000,0.7,2195000,2001
GA,50000,52,2600000,52000,1.13,2938000,2002
GA,52000,65,3380000,270000,1.28,4326000,2003
GA,63000,49,3087000,648000,1.2,3704000,2004
GA,59000,49,2891000,434000,0.89,2573000,2005
GA,63000,74,4662000,746000,1.2,5594000,2006
GA,60000,58,3480000,522000,1.19,4141000,2007
GA,65000,71,4615000,369000,1.52,7015000,2008
GA,65000,41,2665000,346000,1.47,3918000,2009
GA,55000,46,2530000,152000,1.67,4225000,2010
GA,65000,43,2795000,196000,1.65,4612000,2011
GA,59000,51,3009000,181000,1.92,5777000,2012
