state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
NE,64000,70,4480000,2240000,0.86,3853000,1998
NE,58000,77,4466000,1965000,0.61,2724000,1999
NE,50000,87,4350000,2610000,0.59,2567000,2000
NE,43000,48,2064000,1115000,0.72,1486000,2001
NE,43000,75,3225000,1161000,1.49,4805000,2002
NE,45000,74,3330000,1299000,1.38,4595000,2003
NE,51000,89,4539000,2043000,1.01,4584000,2004
NE,40000,68,2720000,2530000,0.87,2366000,2005
NE,47000,73,3431000,3843000,0.93,3191000,2006
NE,45000,49,2205000,1477000,1.03,2271000,2007
NE,36000,67,2412000,1254000,1.45,3497000,2008
NE,48000,56,2688000,1102000,1.46,3924000,2009
NE,41000,55,2255000,902000,1.51,3405000,2010
NE,41000,59,2419000,653000,1.75,4233000,2011
NE,43000,65,2795000,1146000,1.93,5394000,2012
