state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
MS,18000,86,1548000,898000,0.58,898000,1998
MS,18000,73,1314000,591000,0.54,710000,1999
MS,17000,72,1224000,649000,0.69,845000,2000
MS,17000,66,1122000,224000,0.89,999000,2001
MS,18000,78,1404000,281000,1.23,1727000,2002
MS,21000,69,1449000,246000,1.29,1869000,2003
MS,18000,65,1170000,421000,0.79,924000,2004
MS,16000,80,1280000,346000,0.67,858000,2005
MS,14000,98,1372000,453000,0.93,1276000,2006
MS,15000,92,1380000,166000,0.91,1256000,2007
MS,14000,98,1372000,110000,1.3,1784000,2008
MS,14000,104,1456000,87000,1.32,1922000,2009
MS,16000,98,1568000,78000,1.44,2258000,2010
MS,18000,115,2070000,104000,1.53,3167000,2011
MS,18000,118,2124000,64000,1.77,3759000,2012
